Dewpoint,HourlyPrecipIn,Humidity,Pressure,Temperature,deviceTime_unix,WindDirection,WindDirectionDegrees,WindSpeedGustMPH,WindSpeedMPH,dailyrainin
11.666666666666668,0.0,83.0,1012.8648522300001,14.666666666666666,1530428822,WSW,245.0,1.0,0.0,0.0
12.222222222222223,0.0,85.0,1012.8648522300001,14.500000000000002,1530429724,WSW,245.0,0.0,0.0,0.0
12.222222222222223,0.0,86.0,1012.8648522300001,14.27777777777778,1530430626,WSW,245.0,0.0,0.0,0.0
12.222222222222223,0.0,87.0,1012.8648522300001,14.166666666666668,1530431527,WSW,245.0,0.0,0.0,0.0
12.222222222222223,0.0,87.0,1012.8648522300001,14.11111111111111,1530432428,WSW,245.0,1.0,0.0,0.0
12.222222222222223,0.0,88.0,1012.8648522300001,14.000000000000002,1530433329,WSW,245.0,1.0,0.0,0.0
12.222222222222223,0.0,89.0,1012.8648522300001,13.88888888888889,1530434230,WSW,249.0,0.0,0.0,0.0
12.222222222222223,0.0,89.0,1012.5262147000001,13.777777777777777,1530435133,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,89.0,1012.5262147000001,13.611111111111112,1530436035,WSW,248.0,1.0,0.0,0.0
12.222222222222223,0.0,90.0,1012.5262147000001,13.499999999999998,1530436936,WSW,249.0,0.0,0.0,0.0
12.222222222222223,0.0,91.0,1012.5262147000001,13.444444444444446,1530437837,WSW,249.0,1.0,0.0,0.0
12.222222222222223,0.0,91.0,1012.5262147000001,13.388888888888891,1530438739,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,91.0,1012.8648522300001,13.277777777777777,1530439639,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,91.0,1012.8648522300001,13.222222222222221,1530440540,WSW,249.0,1.0,0.0,0.0
11.666666666666668,0.0,91.0,1012.8648522300001,13.0,1530441441,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,92.0,1012.8648522300001,12.944444444444443,1530442343,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,92.0,1012.8648522300001,12.777777777777779,1530443244,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,92.0,1012.8648522300001,12.833333333333334,1530444145,WSW,249.0,0.0,0.0,0.0
11.666666666666668,0.0,92.0,1013.2034897600001,12.722222222222221,1530445047,WSW,248.0,0.0,0.0,0.0
11.666666666666668,0.0,93.0,1012.8648522300001,12.611111111111112,1530445948,WSW,249.0,1.0,0.0,0.0
11.11111111111111,0.0,92.0,1013.2034897600001,12.5,1530446849,WSW,249.0,0.0,0.0,0.0
11.11111111111111,0.0,93.0,1013.2034897600001,12.333333333333336,1530447751,WSW,249.0,0.0,0.0,0.0
11.11111111111111,0.0,93.0,1013.54212729,12.333333333333336,1530448653,WSW,249.0,0.0,0.0,0.0
11.11111111111111,0.0,93.0,1013.54212729,12.333333333333336,1530449555,WSW,249.0,0.0,0.0,0.0
11.11111111111111,0.0,93.0,1013.8807648200001,12.388888888888888,1530450457,WSW,249.0,0.0,0.0,0.0
11.11111111111111,0.0,93.0,1013.8807648200001,12.388888888888888,1530451358,WSW,249.0,1.0,0.0,0.0
11.666666666666668,0.0,94.0,1013.8807648200001,12.611111111111112,1530452259,West,271.0,2.0,0.0,0.0
11.666666666666668,0.0,94.0,1014.2194023500001,12.777777777777779,1530453160,SW,233.0,2.0,0.0,0.0
12.222222222222223,0.0,94.0,1014.2194023500001,13.0,1530454063,SW,234.0,0.0,0.0,0.0
12.777777777777779,0.0,94.0,1014.5580398800001,13.555555555555555,1530454964,SW,233.0,1.0,0.0,0.0
13.333333333333334,0.0,94.0,1014.5580398800001,14.055555555555555,1530455865,SW,233.0,0.0,0.0,0.0
13.333333333333334,0.0,93.0,1014.5580398800001,14.666666666666666,1530456766,NW,307.0,1.0,0.0,0.0
13.88888888888889,0.0,92.0,1014.5580398800001,15.277777777777779,1530457669,North,5.0,2.0,0.0,0.0
14.444444444444445,0.0,90.0,1014.5580398800001,16.166666666666668,1530458573,NE,49.0,2.0,0.0,0.0
15.0,0.0,87.0,1014.5580398800001,17.22222222222222,1530459477,NNW,344.0,1.0,0.0,0.0
15.0,0.0,79.0,1014.5580398800001,18.722222222222225,1530460382,WSW,257.0,1.0,0.0,0.0
15.555555555555557,0.0,77.0,1014.5580398800001,19.444444444444446,1530461286,NNW,333.0,2.0,0.0,0.0
15.0,0.0,71.0,1014.5580398800001,20.166666666666664,1530462189,WSW,252.0,1.0,0.0,0.0
15.0,0.0,71.0,1014.5580398800001,20.500000000000004,1530463091,WSW,248.0,1.0,0.0,0.0
15.0,0.0,68.0,1014.5580398800001,21.222222222222225,1530463996,WSW,248.0,2.0,0.0,0.0
15.0,0.0,67.0,1014.5580398800001,21.555555555555554,1530464898,West,259.0,2.0,0.0,0.0
15.555555555555557,0.0,66.0,1014.5580398800001,22.16666666666667,1530465801,WSW,257.0,2.0,0.0,0.0
15.555555555555557,0.0,63.0,1014.5580398800001,22.833333333333332,1530466705,WSW,254.0,2.0,0.0,0.0
15.555555555555557,0.0,61.0,1014.5580398800001,23.61111111111111,1530467609,WNW,294.0,2.0,0.0,0.0
15.555555555555557,0.0,60.0,1014.89667741,24.055555555555554,1530468512,NW,324.0,3.0,3.0,0.0
15.555555555555557,0.0,60.0,1014.89667741,23.77777777777778,1530469413,WSW,252.0,4.0,0.0,0.0
15.555555555555557,0.0,59.0,1014.89667741,23.88888888888889,1530470314,WSW,257.0,2.0,0.0,0.0
