unix_time,value
1530255601.0,nan
1530262801.0,nan
1530270001.0,nan
1530277201.0,nan
1530284401.0,nan
1530291601.0,nan
1530298801.0,nan
1530306001.0,nan
1530313201.0,nan
1530320401.0,nan
1530327601.0,nan
1530334801.0,nan
1530342001.0,nan
1530349201.0,nan
1530356401.0,nan
1530363601.0,nan
1530370801.0,nan
1530378001.0,nan
1530385201.0,nan
1530392401.0,nan
1530399601.0,nan
1530406801.0,nan
1530414001.0,nan
1530421201.0,nan
1530428401.0,1006.8681459695837
1530435601.0,1006.7129371016667
1530442801.0,1007.4466517500001
1530450001.0,1008.3637950604162
1530457201.0,1008.5754435166663
1530464401.0,1008.6459930020828
1530471601.0,1008.899971149583
1530478801.0,1009.1539492970832
1530486001.0,1009.2809383708332
1530493201.0,1009.0128503262498
1530500401.0,1008.8717513554162
1530507601.0,1008.7447622816663
1530514801.0,1008.3214653691665
1530522001.0,1007.9687179420833
1530529201.0,1007.8417288683332
1530536401.0,1008.3073554720831
1530543601.0,1008.6177732079163
1530550801.0,1008.4061247516664
1530558001.0,1008.434344545833
1530565201.0,1007.8417288683335
1530572401.0,1006.6706074104169
1530579601.0,1005.7957937912496
1530586801.0,1005.6546948204164
1530594001.0,1005.4289364670832
1530601201.0,1004.667002024583
1530608401.0,1003.9191774791667
1530615601.0,1003.8627378908333
1530622801.0,1004.5541228479163
1530630001.0,1005.2596177020832
1530637201.0,1005.5841453349998
1530644401.0,1005.4430463641665
1530651601.0,1005.1749583195833
1530658801.0,1005.1326286283334
1530666001.0,1005.0761890399999
1530673201.0,1005.4853760554164
1530680401.0,1005.8522333795835
1530687601.0,1005.9933323504168
1530694801.0,1006.0497719387505
1530702001.0,1006.600057925
1530709201.0,1007.8840585595832
1530716401.0,1009.1116196058332
1530723601.0,1009.8030045629167
1530730801.0,1010.0005431220835
1530738001.0,1009.9582134308329
1530745201.0,1009.4079274445832
1530752401.0,1009.4643670329164
1530759601.0,1010.1698618870837
1530766801.0,1011.1152249916671
1530774001.0,1011.7501703604167
1530781201.0,1011.5244120070835
1530788401.0,1012.2299068612497
1530795601.0,1013.1611600687498
1530802801.0,1014.00775389375
1530810001.0,1014.0500835850003
1530817201.0,1014.289951835417
1530824401.0,1013.9795340995837
1530831601.0,1013.556237187083
1530838801.0,1014.1911825558336
1530846001.0,1014.7837982333335
1530853201.0,1015.5316227787501
1530860401.0,1015.2212050429171
1530867601.0,1014.289951835417
1530874801.0,1013.6126767754167
1530882001.0,1014.5016002916669
1530889201.0,1014.6568091595838
1530896401.0,1014.6003695712502
1530903601.0,1013.9089846141661
1530910801.0,1012.8507423329164
1530918001.0,1012.0746979933333
1530925201.0,1011.8207198458334
1530932401.0,1011.9759287137499
1530939601.0,1012.06058809625
1530946801.0,1011.369203139167
1530954001.0,1011.1857744770837
1530961201.0,1011.1011150945837
1530968401.0,1011.3550932420836
1530975601.0,1011.1434447858337
1530982801.0,1010.9035765354173
1530990001.0,1010.5226093141672
1530997201.0,1009.7465649745828
1531004401.0,1008.815311767083
1531011601.0,1008.3355752662497
1531018801.0,1008.4907841341663
1531026001.0,1008.970520635
1531033201.0,nan
1531040401.0,nan
1531047601.0,nan
1531054801.0,nan
1531062001.0,nan
1531069201.0,nan
1531076401.0,nan
1531083601.0,nan
1531090801.0,nan
1531098001.0,nan
1531105201.0,nan
1531112401.0,nan
1531119601.0,nan
1531126801.0,nan
1531134001.0,nan
1531141201.0,nan
1531148401.0,nan
1531155601.0,nan
1531162801.0,nan
1531170001.0,nan
1531177201.0,nan
1531184401.0,nan
1531191601.0,nan
1531198801.0,nan
1531206001.0,nan
1531213201.0,nan
1531220401.0,nan
1531227601.0,nan
1531234801.0,nan
1531242001.0,nan
1531249201.0,nan
1531256401.0,nan
1531263601.0,nan
1531270801.0,nan
1531278001.0,nan
1531285201.0,nan
1531292401.0,nan
1531299601.0,nan
1531306801.0,nan
1531314001.0,nan
1531321201.0,nan
1531328401.0,nan
1531335601.0,nan
1531342801.0,nan
1531350001.0,nan
1531357201.0,nan
1531364401.0,nan
1531371601.0,nan
1531378801.0,nan
1531386001.0,nan
1531393201.0,nan
1531400401.0,nan
1531407601.0,nan
1531414801.0,nan
1531422001.0,nan
1531429201.0,nan
1531436401.0,nan
1531443601.0,nan
1531450801.0,nan
1531458001.0,nan
1531465201.0,nan
1531472401.0,nan
1531479601.0,nan
1531486801.0,nan
1531494001.0,nan
1531501201.0,nan
