unix_time,value
1530255601.0,65.4063888888889
1530266401.0,70.22166666666665
1530277201.0,63.835833333333326
1530288001.0,49.308611111111105
1530298801.0,33.9675
1530309601.0,30.57611111111111
1530320401.0,33.067499999999995
1530331201.0,54.35722222222222
1530342001.0,66.57083333333335
1530352801.0,72.35222222222222
1530363601.0,63.91555555555554
1530374401.0,42.79055555555556
1530385201.0,29.931666666666665
1530396001.0,33.18249999999999
1530406801.0,45.75027777777777
1530417601.0,59.645555555555546
1530428401.0,70.09055555555557
1530439201.0,74.06638888888888
1530450001.0,68.1013888888889
1530460801.0,58.87055555555556
1530471601.0,49.717777777777776
1530482401.0,47.111428571428554
1530493201.0,53.66027777777778
1530504001.0,67.8136111111111
1530514801.0,72.02361111111111
1530525601.0,71.81805555555555
1530536401.0,70.22250000000001
1530547201.0,61.00722222222222
1530558001.0,51.64944444444445
1530568801.0,48.90444444444444
1530579601.0,56.37916666666666
1530590401.0,68.14527777777778
1530601201.0,72.34194444444444
1530612001.0,70.47999999999998
1530622801.0,63.127499999999976
1530633601.0,53.25972222222223
1530644401.0,40.202777777777776
1530655201.0,37.1325
1530666001.0,45.66861111111112
1530676801.0,58.23972222222223
1530687601.0,62.99162162162165
1530698401.0,70.52555555555556
1530709201.0,64.65527777777778
1530720001.0,51.99527777777779
1530730801.0,40.07083333333333
1530741601.0,37.563333333333325
1530752401.0,47.392222222222216
1530763201.0,65.18083333333334
1530774001.0,71.34837837837837
1530784801.0,73.28722222222221
1530795601.0,71.7013888888889
1530806401.0,58.29277777777778
1530817201.0,46.128750000000004
1530828001.0,nan
1530838801.0,nan
1530849601.0,nan
1530860401.0,nan
1530871201.0,nan
1530882001.0,nan
1530892801.0,nan
1530903601.0,nan
1530914401.0,nan
1530925201.0,nan
1530936001.0,nan
1530946801.0,nan
1530957601.0,nan
1530968401.0,nan
1530979201.0,nan
1530990001.0,nan
1531000801.0,nan
1531011601.0,nan
1531022401.0,nan
1531033201.0,nan
1531044001.0,nan
1531054801.0,nan
1531065601.0,nan
1531076401.0,nan
1531087201.0,26.103478260869565
1531098001.0,17.22527777777778
1531108801.0,41.48805555555555
1531119601.0,53.56411764705882
1531130401.0,nan
1531141201.0,nan
1531152001.0,nan
1531162801.0,nan
1531173601.0,53.06428571428571
1531184401.0,51.117499999999986
1531195201.0,51.36583333333333
1531206001.0,52.3464864864865
1531216801.0,53.2225
1531227601.0,54.54944444444445
1531238401.0,56.006388888888885
1531249201.0,53.34916666666668
1531260001.0,52.593636363636364
1531270801.0,nan
1531281601.0,nan
1531292401.0,nan
1531303201.0,nan
1531314001.0,nan
